1,1,17,6,a,a,0,2,2,a,b,16,d,c,1,61,k,14,i,1,1,b,5,a,3,b,a,13,f,c,b,0,18,a
3,1,23,6,b,a,0,1,11,a,b,6,d,f,0,36,r,15,f,0,0,a,3,a,1,b,a,2,l,a,b,15,12,a
9,1,4,1,c,a,0,2,16,e,b,4,c,f,1,52,b,4,a,3,0,b,6,a,1,b,a,9,b,a,b,5,3,b
12,1,18,1,a,a,0,0,0,e,b,20,c,b,1,20,e,15,b,4,0,a,6,a,2,b,a,4,e,a,b,15,9,a
13,1,22,6,a,a,0,3,11,e,d,0,c,c,1,68,i,16,c,1,3,a,4,a,1,b,a,5,j,e,b,15,0,b
17,1,3,1,b,a,0,2,2,a,b,4,a,b,1,64,b,9,a,1,0,b,5,a,1,b,a,1,b,a,b,5,12,a
19,1,17,10,b,a,0,2,12,c,b,0,d,b,0,50,r,11,f,0,0,b,4,b,1,b,a,9,f,c,b,5,6,a
31,1,7,6,b,a,0,4,8,e,b,1,c,f,1,75,b,13,f,1,0,a,5,a,1,b,a,10,b,a,b,5,3,b
34,1,9,1,a,a,0,0,8,e,b,17,d,f,0,90,r,12,i,0,5,b,3,a,1,b,a,15,i,a,b,5,12,b
35,1,9,10,e,a,0,1,4,a,b,0,d,f,3,30,m,7,f,3,3,b,3,a,1,b,a,15,h,a,b,5,18,a
38,1,17,1,c,b,0,1,8,e,b,17,c,a,1,63,i,9,c,1,0,b,2,a,1,b,b,9,b,a,b,5,15,b
39,1,17,10,a,a,0,0,18,e,b,18,d,a,1,30,j,10,i,1,10,a,2,a,3,b,a,2,f,a,d,5,3,b
52,1,18,10,b,a,0,1,8,c,b,0,c,f,1,38,e,10,c,1,0,b,2,a,3,b,a,13,b,a,b,5,18,a
53,1,22,5,c,b,0,2,13,e,b,23,d,f,1,78,k,19,i,1,0,a,3,b,3,b,b,8,f,a,b,5,9,b
54,1,6,1,a,a,0,0,2,a,b,17,a,a,3,72,b,16,f,3,2,a,3,a,3,b,a,15,j,a,b,5,9,a
55,1,0,5,b,a,0,0,12,e,b,3,c,f,1,30,a,9,a,2,0,a,6,a,1,c,a,13,b,a,b,5,15,b
56,1,8,6,c,a,0,3,3,e,b,5,e,f,1,98,k,8,i,1,0,b,1,b,1,b,a,12,f,b,b,5,0,a
57,1,17,10,b,a,0,5,13,a,b,7,a,f,0,70,i,9,a,0,0,a,3,a,1,a,a,12,a,a,b,15,18,a
60,1,0,0,c,b,0,0,2,e,b,11,c,f,1,54,b,6,b,1,0,a,2,b,1,b,b,11,b,a,b,10,9,b
66,1,4,10,b,a,0,3,14,a,b,14,c,f,1,31,b,13,f,4,0,b,2,a,1,b,a,6,a,a,d,15,3,a
71,1,18,5,a,b,0,1,4,e,b,9,d,b,5,73,p,9,i,5,4,b,3,a,1,b,b,11,f,c,b,5,15,b
72,1,5,10,a,a,0,3,7,c,b,18,d,f,1,62,r,8,i,3,1,b,5,a,1,b,a,4,f,a,b,15,15,b
74,1,4,6,a,a,0,2,3,a,b,11,a,f,0,59,b,8,a,0,1,a,6,a,3,b,a,12,b,a,b,10,9,a
77,1,4,5,a,a,0,1,1,e,a,23,d,b,0,55,k,12,i,2,2,b,6,b,3,b,a,10,h,f,b,15,3,b
79,1,13,0,a,a,0,2,6,a,b,6,d,a,3,67,r,7,g,5,8,a,2,b,1,b,a,11,f,a,b,10,9,a
80,1,3,10,a,b,0,2,16,e,b,6,d,a,1,92,k,7,i,1,2,b,6,a,3,b,a,12,g,a,b,15,15,b
83,1,18,5,a,a,0,6,12,e,b,7,c,a,3,29,i,11,c,3,2,a,3,a,1,b,a,13,b,a,b,15,3,a
85,1,5,1,b,a,0,3,18,d,b,14,c,f,1,33,b,7,a,3,0,b,2,a,1,b,a,4,b,a,d,0,15,b
89,1,16,1,a,a,0,1,8,e,b,1,c,a,0,93,b,11,c,0,11,b,0,a,3,b,a,21,b,a,b,5,15,a
91,1,7,1,a,a,0,1,14,a,b,6,d,f,2,11,k,12,i,2,11,b,4,a,3,b,a,16,f,a,b,15,9,a
95,1,3,5,a,a,0,2,4,a,b,9,d,a,1,48,r,8,g,3,1,b,2,a,3,b,a,3,f,a,b,10,9,a
96,1,11,10,a,a,0,4,13,c,b,0,c,h,1,78,i,3,a,2,4,a,5,a,1,b,a,7,b,a,b,10,18,b
105,1,20,5,b,a,0,4,11,e,b,12,d,f,1,63,k,19,f,1,0,b,6,a,1,b,a,4,f,a,b,5,15,b
107,1,11,10,a,a,0,1,1,e,b,23,c,b,1,52,b,10,a,1,6,b,3,b,2,b,a,10,b,f,b,15,9,b
110,1,6,6,a,a,0,4,9,a,b,16,d,d,1,90,r,19,i,1,1,a,0,b,1,b,a,19,f,a,b,5,9,a
115,1,11,1,b,a,0,1,2,d,b,8,d,f,1,7,m,8,f,2,0,b,4,b,1,b,a,0,h,a,b,5,9,b
116,1,16,1,c,b,0,2,4,c,b,20,d,b,0,93,r,6,i,0,0,b,3,a,1,b,b,15,h,a,b,15,15,a
117,1,13,1,a,a,0,0,6,d,b,16,c,a,1,10,i,6,a,1,4,a,3,b,1,b,a,14,b,a,b,5,15,b
118,1,5,6,a,b,0,3,1,e,a,21,d,b,1,76,r,8,i,1,1,b,1,a,1,b,b,12,f,f,b,10,18,b
120,1,11,1,a,a,0,1,11,a,b,0,d,f,0,22,k,13,i,1,8,b,2,a,2,b,a,11,f,a,b,10,15,a
121,1,16,10,a,b,0,3,8,c,b,0,c,a,0,55,b,12,c,0,3,b,4,a,3,b,b,4,b,a,b,10,15,b
122,1,17,1,b,a,0,4,3,e,b,19,c,g,1,14,b,9,a,0,0,a,5,a,1,b,a,1,b,a,d,10,9,a
125,1,9,5,b,a,0,3,1,e,b,2,c,f,1,42,b,10,b,1,0,a,6,b,2,b,a,13,b,a,b,15,18,b
126,1,4,5,a,a,0,3,5,e,b,20,c,a,1,50,b,7,a,2,0,a,1,a,2,b,a,12,b,a,b,10,12,b
129,1,9,10,a,a,0,6,6,e,b,15,d,a,1,87,r,9,h,1,3,a,4,a,3,b,a,20,f,a,b,10,0,b
131,1,17,10,b,a,0,1,6,a,b,14,d,c,0,24,k,7,f,0,0,a,2,b,1,b,a,2,f,a,b,5,18,a
134,1,11,5,a,a,1,4,11,e,b,8,c,c,1,23,i,29,c,1,5,a,4,a,1,b,a,12,j,a,b,5,6,b
137,1,18,10,a,a,0,1,5,a,b,20,d,a,1,70,k,7,h,1,3,a,3,a,3,b,a,11,f,a,b,5,9,a
139,1,15,10,a,b,0,2,2,e,b,2,a,f,1,85,b,10,a,3,3,a,2,a,1,b,b,11,j,a,b,10,15,b
145,1,0,5,a,a,0,0,2,e,b,9,c,f,0,43,e,9,b,0,0,a,5,a,1,b,a,9,j,a,b,5,3,b
151,1,3,10,a,a,0,0,14,d,b,8,c,f,1,40,b,12,f,3,2,b,0,a,1,b,a,7,b,a,a,5,12,b
155,1,11,5,a,a,0,1,5,e,b,20,d,a,1,99,k,9,g,1,6,a,5,a,3,b,a,15,h,a,b,5,15,b
156,1,5,5,a,a,0,1,4,e,b,12,c,f,2,32,a,7,a,2,1,b,6,b,2,b,a,11,b,a,b,10,18,b
161,1,0,6,b,a,0,0,13,e,b,4,c,c,0,85,d,12,f,0,0,b,2,a,3,b,a,17,j,a,b,10,3,b
164,1,16,6,a,a,0,0,1,e,b,24,c,b,1,60,b,9,a,0,3,a,3,b,2,b,a,4,j,a,b,10,15,b
166,1,2,10,a,a,0,1,2,e,b,17,d,f,1,80,k,14,i,1,1,a,0,b,1,b,a,16,f,a,b,10,18,b
167,1,12,6,b,a,0,3,12,c,b,6,d,a,0,40,k,17,f,0,0,b,2,a,1,b,a,11,f,a,b,15,9,b
176,1,1,6,a,a,0,1,6,e,b,11,d,a,1,97,n,11,i,1,1,b,5,b,3,b,a,13,f,a,b,10,6,b
180,1,22,1,b,a,0,1,9,d,b,9,d,h,1,39,l,14,f,4,0,a,3,a,1,b,a,7,f,a,b,15,3,b
181,1,0,1,c,a,1,0,13,e,b,8,c,a,1,84,i,17,c,3,0,b,2,a,3,c,a,5,a,e,b,10,15,b
183,1,3,5,b,a,0,2,1,c,b,9,c,f,3,39,b,8,a,4,0,a,0,a,1,b,a,10,b,a,b,5,12,b
188,1,2,6,c,b,0,1,1,e,b,16,d,b,1,81,k,10,i,1,0,b,5,a,3,b,b,9,f,f,b,10,9,b
191,1,22,6,a,a,0,3,7,c,b,14,c,f,1,86,f,10,f,3,3,b,3,b,1,a,a,9,b,a,b,15,18,b
195,1,18,1,a,a,0,3,8,e,b,0,c,f,1,36,a,10,c,1,8,b,5,b,1,b,a,13,b,a,b,15,18,b
196,1,17,6,a,a,0,0,0,d,b,20,c,b,0,38,b,17,a,0,4,a,4,a,1,b,a,9,b,a,b,0,9,b
200,1,16,6,a,a,0,1,4,a,b,19,c,g,1,31,g,8,a,2,2,a,2,a,1,b,a,3,b,c,b,15,3,a
201,1,4,10,b,a,0,3,17,c,b,12,c,h,3,16,a,7,a,1,0,a,3,a,3,b,a,7,a,a,b,10,0,b
205,1,14,6,a,a,0,2,8,e,b,0,c,b,0,10,b,9,b,0,3,a,2,b,1,b,a,9,b,a,b,10,18,b
214,1,5,0,c,a,0,3,4,e,b,12,d,b,0,80,r,7,i,0,0,b,2,a,1,b,a,18,g,a,b,5,12,b
215,1,20,6,d,a,0,1,1,e,b,24,c,b,1,58,i,24,a,2,2,a,6,a,2,b,a,6,j,a,b,15,18,b
